date,portfolio_value,cash_balance,total_pnl,total_pnl_percent,signals_count,predictions,positions_count,positions_by_symbol
2023-01-01T00:00:00,10520744.548349999,8999616.75835,520744.5483499998,5.207445483499998,8,{},1,"{'SBER': {'quantity': 7501.0, 'average_price': 133.36665000000002, 'current_price': 202.79, 'unrealized_pnl': 520744.5483499998, 'market_value': 1521127.79}}"
2023-01-02T00:00:00,11605349.93535,6894918.93535,1605349.9353500002,16.0534993535,14,{},3,"{'SBER': {'quantity': 7501.0, 'average_price': 133.36665000000002, 'current_price': 201.76, 'unrealized_pnl': 513018.5183499998, 'market_value': 1513401.76}, 'LKOH': {'quantity': 269.0, 'average_price': 3912.9554999999996, 'current_price': 5934.35, 'unrealized_pnl': 543755.1205000002, 'market_value': 1596340.1500000001}, 'NVTK': {'quantity': 1059.0, 'average_price': 993.4965, 'current_price': 1511.51, 'unrealized_pnl': 548576.2965000002, 'market_value': 1600689.09}}"
2023-01-03T00:00:00,11332854.866349999,5733860.69635,1332854.8663499998,13.328548663499998,16,{},4,"{'SBER': {'quantity': 7501.0, 'average_price': 133.36665000000002, 'current_price': 204.46, 'unrealized_pnl': 533271.2183499997, 'market_value': 1533654.46}, 'LKOH': {'quantity': 269.0, 'average_price': 3912.9554999999996, 'current_price': 6002.75, 'unrealized_pnl': 562154.7205, 'market_value': 1614739.75}, 'NVTK': {'quantity': 1059.0, 'average_price': 993.4965, 'current_price': 1497.57, 'unrealized_pnl': 533813.8365, 'market_value': 1585926.63}, 'GAZP': {'quantity': 5861.0, 'average_price': 198.09900000000002, 'current_price': 147.53, 'unrealized_pnl': -296384.9090000001, 'market_value': 864673.33}}"
2023-01-04T00:00:00,11374936.51235,5849830.682349999,1374936.5123500002,13.749365123500002,18,{},4,"{'SBER': {'quantity': 7501.0, 'average_price': 133.36665000000002, 'current_price': 200.82, 'unrealized_pnl': 505967.57834999985, 'market_value': 1506350.82}, 'LKOH': {'quantity': 269.0, 'average_price': 3912.9554999999996, 'current_price': 6178.43, 'unrealized_pnl': 609412.6405000002, 'market_value': 1661997.6700000002}, 'NVTK': {'quantity': 1059.0, 'average_price': 993.4965, 'current_price': 1485.76, 'unrealized_pnl': 521307.0465000002, 'market_value': 1573419.84}, 'GAZP': {'quantity': 5275.0, 'average_price': 198.1209958293839, 'current_price': 148.5, 'unrealized_pnl': -261750.75300000003, 'market_value': 783337.5}}"
2023-01-05T00:00:00,11429001.252349999,5849830.682349999,1429001.25235,14.290012523500002,16,{},4,"{'SBER': {'quantity': 7501.0, 'average_price': 133.36665000000002, 'current_price': 201.73, 'unrealized_pnl': 512793.48834999977, 'market_value': 1513176.73}, 'LKOH': {'quantity': 269.0, 'average_price': 3912.9554999999996, 'current_price': 5992.99, 'unrealized_pnl': 559529.2805000001, 'market_value': 1612114.31}, 'NVTK': {'quantity': 1059.0, 'average_price': 993.4965, 'current_price': 1551.42, 'unrealized_pnl': 590840.9865000001, 'market_value': 1642953.78}, 'GAZP': {'quantity': 5275.0, 'average_price': 198.1209958293839, 'current_price': 153.73, 'unrealized_pnl': -234162.50300000003, 'market_value': 810925.75}}"
2023-01-06T00:00:00,847716133.0493098,4807994.3093099985,837716133.0493098,8377.161330493098,18,{},5,"{'SBER': {'quantity': 7501.0, 'average_price': 133.36665000000002, 'current_price': 202.21, 'unrealized_pnl': 516393.96834999975, 'market_value': 1516777.21}, 'LKOH': {'quantity': 243.0, 'average_price': 3913.37396090535, 'current_price': 5892.06, 'unrealized_pnl': 480820.7075, 'market_value': 1431770.58}, 'NVTK': {'quantity': 1059.0, 'average_price': 993.4965, 'current_price': 1511.0, 'unrealized_pnl': 548036.2065000001, 'market_value': 1600149.0}, 'GAZP': {'quantity': 5275.0, 'average_price': 198.1209958293839, 'current_price': 147.29, 'unrealized_pnl': -268133.503, 'market_value': 776954.75}, 'MGNT': {'quantity': 8163572.0, 'average_price': 0.14007, 'current_price': 102.6, 'unrealized_pnl': 836439015.6699599, 'market_value': 837582487.1999999}}"
2023-01-07T00:00:00,803850503.20681,4912207.176809998,793850503.20681,7938.5050320681,16,{},5,"{'SBER': {'quantity': 7501.0, 'average_price': 133.36665000000002, 'current_price': 199.73, 'unrealized_pnl': 497791.48834999977, 'market_value': 1498174.73}, 'LKOH': {'quantity': 243.0, 'average_price': 3913.37396090535, 'current_price': 5916.3, 'unrealized_pnl': 486711.0275000001, 'market_value': 1437660.9000000001}, 'NVTK': {'quantity': 954.0, 'average_price': 993.6057924528302, 'current_price': 1468.53, 'unrealized_pnl': 453077.6939999999, 'market_value': 1400977.6199999999}, 'GAZP': {'quantity': 5275.0, 'average_price': 198.1209958293839, 'current_price': 147.06, 'unrealized_pnl': -269346.753, 'market_value': 775741.5}, 'MGNT': {'quantity': 8163572.0, 'average_price': 0.14007, 'current_price': 97.24, 'unrealized_pnl': 792682269.74996, 'market_value': 793825741.28}}"
2023-01-08T00:00:00,784286047.4493101,5006495.009309998,774286047.44931,7742.860474493099,16,{},5,"{'SBER': {'quantity': 7501.0, 'average_price': 133.36665000000002, 'current_price': 196.11, 'unrealized_pnl': 470637.8683499999, 'market_value': 1471021.11}, 'LKOH': {'quantity': 243.0, 'average_price': 3913.37396090535, 'current_price': 6065.1, 'unrealized_pnl': 522869.4275, 'market_value': 1473819.3}, 'NVTK': {'quantity': 859.0, 'average_price': 993.7276990686845, 'current_price': 1527.95, 'unrealized_pnl': 458896.9565000001, 'market_value': 1312509.05}, 'GAZP': {'quantity': 5275.0, 'average_price': 198.1209958293839, 'current_price': 149.58, 'unrealized_pnl': -256053.7529999999, 'market_value': 789034.5000000001}, 'MGNT': {'quantity': 8163572.0, 'average_price': 0.14007, 'current_price': 94.84, 'unrealized_pnl': 773089696.94996, 'market_value': 774233168.48}}"
2023-01-09T00:00:00,817188474.59631,5295076.646309998,807188474.59631,8071.884745963101,18,{},5,"{'SBER': {'quantity': 6751.0, 'average_price': 133.38145891719745, 'current_price': 200.25, 'unrealized_pnl': 451429.52085, 'market_value': 1351887.75}, 'LKOH': {'quantity': 243.0, 'average_price': 3913.37396090535, 'current_price': 5828.04, 'unrealized_pnl': 465263.8474999999, 'market_value': 1416213.72}, 'NVTK': {'quantity': 774.0, 'average_price': 993.8621395348837, 'current_price': 1456.14, 'unrealized_pnl': 357803.06400000013, 'market_value': 1127052.36}, 'GAZP': {'quantity': 4748.0, 'average_price': 198.1454140690817, 'current_price': 147.98, 'unrealized_pnl': -238185.38600000006, 'market_value': 702609.0399999999}, 'MGNT': {'quantity': 8163572.0, 'average_price': 0.14007, 'current_price': 98.89, 'unrealized_pnl': 806152163.54996, 'market_value': 807295635.08}}"
2023-01-10T00:00:00,844535967.06706,5461431.927059999,834535967.06706,8345.3596706706,18,{},5,"{'SBER': {'quantity': 6076.0, 'average_price': 133.39791275510206, 'current_price': 199.36, 'unrealized_pnl': 400785.64210000006, 'market_value': 1211311.36}, 'LKOH': {'quantity': 243.0, 'average_price': 3913.37396090535, 'current_price': 6151.54, 'unrealized_pnl': 543874.3474999999, 'market_value': 1494824.22}, 'NVTK': {'quantity': 697.0, 'average_price': 994.0122331420373, 'current_price': 1484.88, 'unrealized_pnl': 342134.83350000007, 'market_value': 1034961.3600000001}, 'GAZP': {'quantity': 4748.0, 'average_price': 198.1454140690817, 'current_price': 145.29, 'unrealized_pnl': -250957.50600000005, 'market_value': 689836.9199999999}, 'MGNT': {'quantity': 8163572.0, 'average_price': 0.14007, 'current_price': 102.24, 'unrealized_pnl': 833500129.74996, 'market_value': 834643601.28}}"
2023-01-11T00:00:00,761343099.3435699,5644147.503569998,751343099.34357,7513.430993435701,16,{},5,"{'SBER': {'quantity': 6076.0, 'average_price': 133.39791275510206, 'current_price': 195.61, 'unrealized_pnl': 378000.64210000006, 'market_value': 1188526.36}, 'LKOH': {'quantity': 243.0, 'average_price': 3913.37396090535, 'current_price': 6003.97, 'unrealized_pnl': 508014.8374999999, 'market_value': 1458964.71}, 'NVTK': {'quantity': 628.0, 'average_price': 994.1780015923567, 'current_price': 1513.54, 'unrealized_pnl': 326159.33499999996, 'market_value': 950503.12}, 'GAZP': {'quantity': 4748.0, 'average_price': 198.1454140690817, 'current_price': 147.7, 'unrealized_pnl': -239514.826, 'market_value': 701279.6}, 'MGNT': {'quantity': 7347215.0, 'average_price': 0.14008555555132116, 'current_price': 102.27, 'unrealized_pnl': 750370439.35497, 'market_value': 751399678.05}}"
2023-01-12T00:00:00,678016296.4801,5808492.230099998,668016296.4800999,6680.162964800999,16,{},5,"{'SBER': {'quantity': 6076.0, 'average_price': 133.39791275510206, 'current_price': 197.04, 'unrealized_pnl': 386689.3221, 'market_value': 1197215.04}, 'LKOH': {'quantity': 243.0, 'average_price': 3913.37396090535, 'current_price': 5963.61, 'unrealized_pnl': 498207.3574999999, 'market_value': 1449157.23}, 'NVTK': {'quantity': 566.0, 'average_price': 994.3614275618374, 'current_price': 1497.67, 'unrealized_pnl': 284872.6520000001, 'market_value': 847681.2200000001}, 'GAZP': {'quantity': 4748.0, 'average_price': 198.1454140690817, 'current_price': 151.56, 'unrealized_pnl': -221187.54599999997, 'market_value': 719606.88}, 'MGNT': {'quantity': 6612494.0, 'average_price': 0.14010283948839877, 'current_price': 101.02, 'unrealized_pnl': 667067714.6945, 'market_value': 667994143.88}}"
2023-01-13T00:00:00,593883585.68867,5956600.998669999,583883585.68867,5838.835856886701,18,{},5,"{'SBER': {'quantity': 6076.0, 'average_price': 133.39791275510206, 'current_price': 203.47, 'unrealized_pnl': 425758.0020999999, 'market_value': 1236283.72}, 'LKOH': {'quantity': 243.0, 'average_price': 3913.37396090535, 'current_price': 6046.7, 'unrealized_pnl': 518398.2274999998, 'market_value': 1469348.0999999999}, 'NVTK': {'quantity': 510.0, 'average_price': 994.5654352941176, 'current_price': 1494.63, 'unrealized_pnl': 255032.92800000007, 'market_value': 762261.3}, 'GAZP': {'quantity': 4748.0, 'average_price': 198.1454140690817, 'current_price': 147.74, 'unrealized_pnl': -239324.90599999996, 'market_value': 701469.52}, 'MGNT': {'quantity': 5951245.0, 'average_price': 0.14012204386309085, 'current_price': 98.09, 'unrealized_pnl': 582923721.43707, 'market_value': 583757622.0500001}}"
2023-01-14T00:00:00,599580123.2571701,6007218.677169999,589580123.25717,5895.801232571699,20,{},5,"{'SBER': {'quantity': 6076.0, 'average_price': 133.39791275510206, 'current_price': 200.11, 'unrealized_pnl': 405342.64210000006, 'market_value': 1215868.36}, 'LKOH': {'quantity': 243.0, 'average_price': 3913.37396090535, 'current_price': 5940.19, 'unrealized_pnl': 492516.29749999987, 'market_value': 1443466.17}, 'NVTK': {'quantity': 459.0, 'average_price': 994.7945392156863, 'current_price': 1530.13, 'unrealized_pnl': 245718.97650000005, 'market_value': 702329.67}, 'GAZP': {'quantity': 4748.0, 'average_price': 198.1454140690817, 'current_price': 143.41, 'unrealized_pnl': -259883.74600000004, 'market_value': 680910.6799999999}, 'MGNT': {'quantity': 5951245.0, 'average_price': 0.14012204386309085, 'current_price': 99.06, 'unrealized_pnl': 588696429.08707, 'market_value': 589530329.7}}"
2023-01-15T00:00:00,544950254.9759899,6135157.035989999,534950254.97598994,5349.5025497599,20,{},5,"{'SBER': {'quantity': 6076.0, 'average_price': 133.39791275510206, 'current_price': 202.53, 'unrealized_pnl': 420046.5621, 'market_value': 1230572.28}, 'LKOH': {'quantity': 243.0, 'average_price': 3913.37396090535, 'current_price': 5809.25, 'unrealized_pnl': 460697.87749999994, 'market_value': 1411647.75}, 'NVTK': {'quantity': 414.0, 'average_price': 995.0435652173913, 'current_price': 1552.85, 'unrealized_pnl': 230931.86399999988, 'market_value': 642879.8999999999}, 'GAZP': {'quantity': 4748.0, 'average_price': 198.1454140690817, 'current_price': 151.92, 'unrealized_pnl': -219478.26600000006, 'market_value': 721316.1599999999}, 'MGNT': {'quantity': 5356121.0, 'average_price': 0.14014338205018148, 'current_price': 99.85, 'unrealized_pnl': 534058056.93838996, 'market_value': 534808681.84999996}}"
2023-01-16T00:00:00,568284321.2694899,6175849.679489999,558284321.26949,5582.8432126949,20,{},5,"{'SBER': {'quantity': 6076.0, 'average_price': 133.39791275510206, 'current_price': 202.32, 'unrealized_pnl': 418770.6021, 'market_value': 1229296.32}, 'LKOH': {'quantity': 243.0, 'average_price': 3913.37396090535, 'current_price': 5989.48, 'unrealized_pnl': 504493.76749999984, 'market_value': 1455443.64}, 'NVTK': {'quantity': 373.0, 'average_price': 995.3227680965148, 'current_price': 1449.38, 'unrealized_pnl': 169363.34749999997, 'market_value': 540618.74}, 'GAZP': {'quantity': 4748.0, 'average_price': 198.1454140690817, 'current_price': 152.01, 'unrealized_pnl': -219050.946, 'market_value': 721743.48}, 'MGNT': {'quantity': 5356121.0, 'average_price': 0.14014338205018148, 'current_price': 104.21, 'unrealized_pnl': 557410744.49839, 'market_value': 558161369.41}}"
2023-01-17T00:00:00,534127777.23699,6306389.376989999,524127777.23699,5241.277772369899,20,{},5,"{'SBER': {'quantity': 6076.0, 'average_price': 133.39791275510206, 'current_price': 200.79, 'unrealized_pnl': 409474.3221, 'market_value': 1220000.04}, 'LKOH': {'quantity': 219.0, 'average_price': 3913.848422374429, 'current_price': 5905.47, 'unrealized_pnl': 436165.1255000002, 'market_value': 1293297.9300000002}, 'NVTK': {'quantity': 336.0, 'average_price': 995.6332232142856, 'current_price': 1457.49, 'unrealized_pnl': 155183.87700000004, 'market_value': 489716.64}, 'GAZP': {'quantity': 4748.0, 'average_price': 198.1454140690817, 'current_price': 152.05, 'unrealized_pnl': -218861.02599999995, 'market_value': 721933.4}, 'MGNT': {'quantity': 5356121.0, 'average_price': 0.14014338205018148, 'current_price': 97.85, 'unrealized_pnl': 523345814.93838996, 'market_value': 524096439.84999996}}"
2023-01-18T00:00:00,533554537.07249,6339141.992489999,523554537.07249,5235.5453707249,18,{},5,"{'SBER': {'quantity': 6076.0, 'average_price': 133.39791275510206, 'current_price': 197.87, 'unrealized_pnl': 391732.40210000006, 'market_value': 1202258.12}, 'LKOH': {'quantity': 219.0, 'average_price': 3913.848422374429, 'current_price': 6044.5, 'unrealized_pnl': 466612.69550000003, 'market_value': 1323745.5}, 'NVTK': {'quantity': 303.0, 'average_price': 995.974084158416, 'current_price': 1516.12, 'unrealized_pnl': 157604.21249999997, 'market_value': 459384.36}, 'GAZP': {'quantity': 4748.0, 'average_price': 198.1454140690817, 'current_price': 152.22, 'unrealized_pnl': -218053.86600000004, 'market_value': 722740.5599999999}, 'MGNT': {'quantity': 5356121.0, 'average_price': 0.14014338205018148, 'current_price': 97.74, 'unrealized_pnl': 522756641.62838995, 'market_value': 523507266.53999996}}"
