date,portfolio_value,cash_balance,total_pnl,total_pnl_percent,signals_count,predictions,positions_count
2023-01-01T00:00:00,726088708.64201,7001245.392010001,716088708.64201,7160.8870864201,14,{},3
2023-01-02T00:00:00,741938902.6520098,7001245.392010001,731938902.65201,7319.389026520099,18,{},3
2023-01-03T00:00:00,724954403.22201,7001245.392010001,714954403.22201,7149.5440322201,20,{},3
2023-01-04T00:00:00,737804228.15201,7001245.392010001,727804228.15201,7278.042281520099,20,{},3
2023-01-05T00:00:00,718153660.5220101,7001245.392010001,708153660.5220101,7081.536605220102,20,{},3
2023-01-06T00:00:00,653201208.76206,7101195.292060001,643201208.76206,6432.0120876206,20,{},3
2023-01-07T00:00:00,638700492.40206,7101195.292060001,628700492.40206,6287.0049240206,18,{},3
2023-01-08T00:00:00,682895801.0745599,7198921.404560001,672895801.07456,6728.9580107456,18,{},3
2023-01-09T00:00:00,658535037.51456,7198921.404560001,648535037.51456,6485.3503751456,16,{},3
2023-01-10T00:00:00,670476072.14456,7198921.404560001,660476072.1445601,6604.760721445601,18,{},3
2023-01-11T00:00:00,650865282.6145599,7198921.404560001,640865282.61456,6408.6528261456,18,{},3
2023-01-12T00:00:00,657677122.40456,7298171.75456,647677122.40456,6476.771224045599,18,{},3
2023-01-13T00:00:00,651214340.5545601,7298171.75456,641214340.5545601,6412.143405545601,18,{},3
2023-01-14T00:00:00,655782307.43456,7298171.75456,645782307.4345601,6457.823074345601,18,{},3
2023-01-15T00:00:00,667079167.35456,7298171.75456,657079167.35456,6570.791673545599,18,{},3
2023-01-16T00:00:00,647910837.95456,7298171.75456,637910837.95456,6379.108379545601,18,{},3
2023-01-17T00:00:00,671482234.7330601,7477405.093060001,661482234.7330601,6614.822347330602,20,{},3
2023-01-18T00:00:00,635317411.1665599,7635978.76656,625317411.16656,6253.174111665601,20,{},3
2023-01-19T00:00:00,645721496.98306,7778794.32306,635721496.98306,6357.2149698306,20,{},3
2023-01-20T00:00:00,651215684.00606,7906844.26606,641215684.00606,6412.156840060599,20,{},3
2023-01-21T00:00:00,658856762.26006,8024037.640060001,648856762.26006,6488.5676226006,20,{},3
2023-01-22T00:00:00,654480915.3240601,8127457.904060001,644480915.3240601,6444.8091532406015,20,{},3
2023-01-23T00:00:00,646818489.26606,8222006.60606,636818489.26606,6368.1848926606,20,{},3
2023-01-24T00:00:00,642816775.7865599,8264684.256560001,632816775.78656,6328.167757865601,20,{},3
2023-01-25T00:00:00,660530663.77656,8264684.256560001,650530663.7765601,6505.3066377656005,20,{},3
2023-01-26T00:00:00,642099486.42656,8264684.256560001,632099486.4265602,6320.994864265602,20,{},3
2023-01-27T00:00:00,668021017.13656,8264684.256560001,658021017.1365601,6580.210171365601,20,{},3
2023-01-28T00:00:00,646834552.37656,8264684.256560001,636834552.3765601,6368.345523765602,20,{},3
2023-01-29T00:00:00,650868602.6065599,8264684.256560001,640868602.60656,6408.686026065599,20,{},3
2023-01-30T00:00:00,669305495.87656,8264684.256560001,659305495.8765601,6593.0549587656005,20,{},3
2023-01-31T00:00:00,653654236.7030599,8303391.893060001,643654236.70306,6436.5423670306,20,{},3
2023-02-01T00:00:00,667475513.1830599,8303391.893060001,657475513.1830599,6574.7551318306,20,{},3
2023-02-02T00:00:00,652061835.02306,8303391.893060001,642061835.02306,6420.618350230599,20,{},3
2023-02-03T00:00:00,649654298.0630599,8303391.893060001,639654298.06306,6396.5429806306,20,{},3
2023-02-04T00:00:00,640199352.6025599,8346391.382560001,630199352.60256,6301.993526025601,20,{},3
2023-02-05T00:00:00,639807487.77756,8385481.827560001,629807487.7775601,6298.074877775602,20,{},3
2023-02-06T00:00:00,651666445.79806,8420663.228060002,641666445.79806,6416.664457980601,20,{},3
2023-02-07T00:00:00,657666237.41406,8451935.584060002,647666237.4140601,6476.662374140601,20,{},3
2023-02-08T00:00:00,644213683.15556,8479298.895560002,634213683.15556,6342.1368315556,20,{},3
2023-02-09T00:00:00,669478634.67256,8502753.162560003,659478634.6725601,6594.786346725601,20,{},3
2023-02-10T00:00:00,660978353.6395599,8526207.429560004,650978353.63956,6509.783536395599,20,{},3
2023-02-11T00:00:00,666334131.42956,8526207.429560004,656334131.42956,6563.341314295601,20,{},3
2023-02-12T00:00:00,648711728.4595599,8526207.429560004,638711728.45956,6387.117284595601,20,{},3
2023-02-13T00:00:00,656421638.12956,8526207.429560004,646421638.1295601,6464.216381295601,20,{},3
2023-02-14T00:00:00,641590450.23956,8526207.429560004,631590450.23956,6315.9045023956005,20,{},3
2023-02-15T00:00:00,647046892.8495599,8526207.429560004,637046892.84956,6370.4689284956,20,{},3
2023-02-16T00:00:00,654899141.9495599,8526207.429560004,644899141.94956,6448.9914194956,20,{},3
2023-02-17T00:00:00,628416747.8495599,8526207.429560004,618416747.84956,6184.1674784956,20,{},3
2023-02-18T00:00:00,666456499.1995599,8526207.429560004,656456499.19956,6564.5649919956,20,{},3
2023-02-19T00:00:00,646910486.66956,8526207.429560004,636910486.6695601,6369.1048666956,20,{},3
