date,portfolio_value,cash_balance,total_pnl,total_pnl_percent,signals_count,predictions,positions_count,positions_by_symbol
2023-01-01T00:00:00,10506567.65835,8999616.75835,506567.6583499999,5.065676583499999,6,{},1,"{'SBER': {'quantity': 7501.0, 'average_price': 133.36665000000002, 'current_price': 200.9, 'unrealized_pnl': 506567.6583499999, 'market_value': 1506950.9000000001}}"
2023-01-02T00:00:00,10721330.369849999,6997309.179849999,721330.3698500001,7.213303698500001,14,{},3,"{'SBER': {'quantity': 6751.0, 'average_price': 133.38145891719745, 'current_price': 199.65, 'unrealized_pnl': 447378.9208500001, 'market_value': 1347837.1500000001}, 'GAZP': {'quantity': 5306.0, 'average_price': 198.099, 'current_price': 146.84, 'unrealized_pnl': -271980.25399999996, 'market_value': 779133.04}, 'NVTK': {'quantity': 1058.0, 'average_price': 993.4965, 'current_price': 1509.5, 'unrealized_pnl': 545931.703, 'market_value': 1597051.0}}"
2023-01-03T00:00:00,10673817.95885,6704320.758849999,673817.9588499999,6.7381795884999995,12,{},3,"{'SBER': {'quantity': 6751.0, 'average_price': 133.38145891719745, 'current_price': 199.17, 'unrealized_pnl': 444138.4408499999, 'market_value': 1344596.67}, 'GAZP': {'quantity': 6785.0, 'average_price': 198.09900000000002, 'current_price': 151.37, 'unrealized_pnl': -317056.265, 'market_value': 1027045.4500000001}, 'NVTK': {'quantity': 1058.0, 'average_price': 993.4965, 'current_price': 1510.26, 'unrealized_pnl': 546735.783, 'market_value': 1597855.08}}"
2023-01-04T00:00:00,10740119.666849999,6838497.6368499985,740119.6668499999,7.401196668499999,14,{},3,"{'SBER': {'quantity': 6751.0, 'average_price': 133.38145891719745, 'current_price': 204.54, 'unrealized_pnl': 480391.31085, 'market_value': 1380849.54}, 'GAZP': {'quantity': 6107.0, 'average_price': 198.12098198788277, 'current_price': 150.83, 'unrealized_pnl': -288806.027, 'market_value': 921118.81}, 'NVTK': {'quantity': 1058.0, 'average_price': 993.4965, 'current_price': 1511.96, 'unrealized_pnl': 548534.3829999999, 'market_value': 1599653.68}}"
2023-01-05T00:00:00,10689811.006849999,6959217.246849999,689811.0068500001,6.898110068500002,16,{},3,"{'SBER': {'quantity': 6751.0, 'average_price': 133.38145891719745, 'current_price': 200.04, 'unrealized_pnl': 450011.81085, 'market_value': 1350470.04}, 'GAZP': {'quantity': 5497.0, 'average_price': 198.1453933054393, 'current_price': 142.52, 'unrealized_pnl': -305772.7869999999, 'market_value': 783432.4400000001}, 'NVTK': {'quantity': 1058.0, 'average_price': 993.4965, 'current_price': 1509.16, 'unrealized_pnl': 545571.983, 'market_value': 1596691.28}}"
2023-01-06T00:00:00,770553112.7883201,5604042.938319998,760553112.7883201,7605.5311278832005,20,{},4,"{'SBER': {'quantity': 6751.0, 'average_price': 133.38145891719745, 'current_price': 197.39, 'unrealized_pnl': 432121.66084999987, 'market_value': 1332579.89}, 'GAZP': {'quantity': 6939.0, 'average_price': 198.13575226977952, 'current_price': 148.56, 'unrealized_pnl': -344006.14500000014, 'market_value': 1030857.84}, 'NVTK': {'quantity': 1058.0, 'average_price': 993.4965, 'current_price': 1534.81, 'unrealized_pnl': 572709.683, 'market_value': 1623828.98}, 'MGNT': {'quantity': 7635579.0, 'average_price': 0.14007000000000003, 'current_price': 99.66, 'unrealized_pnl': 759892287.58947, 'market_value': 760961803.14}}"
2023-01-07T00:00:00,701299262.62933,5710887.469329998,691299262.62933,6912.9926262932995,20,{},4,"{'SBER': {'quantity': 6751.0, 'average_price': 133.38145891719745, 'current_price': 207.0, 'unrealized_pnl': 496998.77085, 'market_value': 1397457.0}, 'GAZP': {'quantity': 6939.0, 'average_price': 198.13575226977952, 'current_price': 146.84, 'unrealized_pnl': -355941.2250000001, 'market_value': 1018922.76}, 'NVTK': {'quantity': 1058.0, 'average_price': 993.4965, 'current_price': 1485.54, 'unrealized_pnl': 520582.02300000004, 'market_value': 1571701.32}, 'MGNT': {'quantity': 6872022.0, 'average_price': 0.14008555553518312, 'current_price': 100.64, 'unrealized_pnl': 690637623.06048, 'market_value': 691600294.08}}"
2023-01-08T00:00:00,730976217.4893299,5710887.469329998,720976217.4893299,7209.7621748933,18,{},4,"{'SBER': {'quantity': 6751.0, 'average_price': 133.38145891719745, 'current_price': 202.84, 'unrealized_pnl': 468914.61085000006, 'market_value': 1369372.84}, 'GAZP': {'quantity': 6939.0, 'average_price': 198.13575226977952, 'current_price': 151.54, 'unrealized_pnl': -323327.92500000005, 'market_value': 1051536.06}, 'NVTK': {'quantity': 1058.0, 'average_price': 993.4965, 'current_price': 1536.59, 'unrealized_pnl': 574592.923, 'market_value': 1625712.22}, 'MGNT': {'quantity': 6872022.0, 'average_price': 0.14008555553518312, 'current_price': 104.95, 'unrealized_pnl': 720256037.8804799, 'market_value': 721218708.9}}"
2023-01-09T00:00:00,707078695.3493301,5710887.469329998,697078695.3493301,6970.786953493301,18,{},4,"{'SBER': {'quantity': 6751.0, 'average_price': 133.38145891719745, 'current_price': 196.32, 'unrealized_pnl': 424898.09085000004, 'market_value': 1325356.32}, 'GAZP': {'quantity': 6939.0, 'average_price': 198.13575226977952, 'current_price': 147.56, 'unrealized_pnl': -350945.14500000014, 'market_value': 1023918.84}, 'NVTK': {'quantity': 1058.0, 'average_price': 993.4965, 'current_price': 1555.52, 'unrealized_pnl': 594620.8629999999, 'market_value': 1645740.16}, 'MGNT': {'quantity': 6872022.0, 'average_price': 0.14008555553518312, 'current_price': 101.48, 'unrealized_pnl': 696410121.54048, 'market_value': 697372792.5600001}}"
2023-01-10T00:00:00,711656654.61933,5710887.469329998,701656654.61933,7016.5665461933,18,{},4,"{'SBER': {'quantity': 6751.0, 'average_price': 133.38145891719745, 'current_price': 192.92, 'unrealized_pnl': 401944.6908499999, 'market_value': 1302402.92}, 'GAZP': {'quantity': 6939.0, 'average_price': 198.13575226977952, 'current_price': 149.03, 'unrealized_pnl': -340744.81500000006, 'market_value': 1034119.17}, 'NVTK': {'quantity': 1058.0, 'average_price': 993.4965, 'current_price': 1542.72, 'unrealized_pnl': 581078.463, 'market_value': 1632197.76}, 'MGNT': {'quantity': 6872022.0, 'average_price': 0.14008555553518312, 'current_price': 102.15, 'unrealized_pnl': 701014376.28048, 'market_value': 701977047.3000001}}"
